Date,Year,Donor,Items,Value ($),Country,Continent,Regime
22/09/2014,2014,His Excellency Zhang Gaoli,Olive green ceramic vase with a crisscross floral pattern and matching lid set on a varnished brown wooden stand. ,450,China,Asia,Authoritarian
05/09/2014,2014,The Government of the United Kingdom of Great Britain and Northern Ireland,"Limited-edition print, title: Celtic Approach. Cufflinks of the Celtic Manor Resort. 9"" x 14"" x 14"" basket of woven wood. Book, title: “Collected Poems 1934-1953” by Dylan Thomas. Package of sea salt. 8"" x 6"" fabric personal journal. Computer USB accessory. 88"" x 68"" blanket with red and black peony pattern. Four coasters, black with four gray symbols. ",736,Ireland,Europe,Full Democracy
02/09/2014,2014,His Excellency Toomas Hendrick Ilves,"19.5"" x 21"" photograph, title: Waterway Weaves 2 printed on glass showing a map of the Republic of Estonia outlined in blue over a textured surface. ",885,Estonia,Europe,Flawed Democracy
21/08/2014,2014,His Excellency Abdelmalek Sellal,Ceremonial dagger decorated with detailed silver work and coral stones. ,885,Algeria,Africa,Authoritarian
12/08/2014,2014,His Excellency Alhaji Dr. Yahya A.J.J. Jammeh,"31"" x 31"" yellow and orange painting with a metal rod attached to top with spear heads on each end. 56"" Kora stringed instrument. ",1380,Gambia,Africa,Hybrid Regime
08/08/2014,2014,His Excellency Joseph Kabila Kabange,"34"" x 26"" framed black and white painting, comprised of abstract forms of faces and nature. ",550,Congo,Africa,Authoritarian
08/08/2014,2014,His Excellency Dr. Goodluck Jonathan,"Book, title: Goodluck Jonathan—Champion for Women. Two framed and matted pencil drawings of President Obama, one as a Senator and one as President. 40"" x 14"" relief art, title: Ijaw Fisherman with bronze paint. ",630,Nigeria,Africa,Hybrid Regime
07/08/2014,2014,His Excellency Blaise Compaoré,"16"" brass and copper statue of a man playing stringed instrument. 37"" x 30"" framed copper relief of a family village scene. ",880,Burkina Faso,Africa,Hybrid Regime
07/08/2014,2014,His Excellency Abdalla Alteni,"8' x 4' carpet with multi-colored stripes, patterns, camels, and white fringe. 20.5"" silver circular platter engraved with building and text “Interim Government of Libya”. ",600,Libya,Africa,Authoritarian
07/08/2014,2014,His Excellency Faure Gnassingbé,"39"" x 39"" two panel painting of abstract human figures and symbols in earth tones and white. Three pieces of traditional clothing, one piece gray, black, and white, one piece blue and yellow, and one piece red and gold. ",1940,Togo,Africa,Authoritarian
06/08/2014,2014,His Majesty Mswati III,Chess set of a mirrored board and silver pieces with felt bottoms. ,445,Swaziland,Africa,Authoritarian
05/08/2014,2014,His Excellency Ahn Ho-Young,Lacquer-ware box with mother of pearl design. ,490,Republic of Korea,Asia,Flawed Democracy
04/08/2014,2014,His Excellency Jorge Carlos Fonseca,"72"" x 32"" painting on canvas of four people in a beach setting listening to a guitar player. Autographed book, title: Kiki Lima. ",1055,Cabo Verde,Africa,Flawed Democracy
04/08/2014,2014,His Excellency Daniel Kablan Duncan,"Framed painting, title: Le Joueur de Cara depicting a man playing a stringed instrument and singing composed in multiple colors and patterns. Bronze staff simulating woven thread set on a six-inch piece of tapered wood. ",1035,Côte d'Ivoire,Africa,Full Democracy
11/06/2014,2014,The Honorable Tony Abbott,9.5' white and blue longboard with friendship flags and the Presidential Seal. Black leather boots. ,2371,Australia,Oceania,Full Democracy
06/06/2014,2014,The Right Honorable David Cameron,"24"" x 36"" framed and matted photograph of Winston Churchill and Dwight Eisenhower reviewing American paratroopers and a two-page facsimile telegram from Prime Minister Churchill to President Truman. ",440,Ireland,Europe,Full Democracy
05/06/2014,2014,His Excellency François Hollande,Three bottles of wine. ,537,France,Europe,Full Democracy
12/05/2014,2014,His Excellency José Mujica Cordano,"37"" x 37"" black, white, and gray toned painting, title: Boliche depicting a table and four chairs on a tiled floor, plus drinkware. Cable-knit tan wool shawl with brown leather and suede accents. 25"" x 35"" print on canvas featuring pastoral scene of men with swords looking off into the distance. ",1681,Uruguay,South America,Full Democracy
28/04/2014,2014,YB Encik Khairy Jamaluddin Abu Bakar,"Bronze-tone covered photo album containing photographs of President Obama's visit to Malaysia. Silk batik fabric in silver, blue, and teal. Book, title: Malacanan Palace. ",441,Malaysia,Asia,Flawed Democracy
27/04/2014,2014,YAB Dato' Sri Mohd Najib,"Framed portrait of President Obama woven in songket fabric. Stamp collection in a metal-covered book including stamps to commemorate President Obama's visit to Malaysia. Six booklets about Islam. Book, title: Ziarah Masjid di Malaysia. ",810,Malaysia,Asia,Flawed Democracy
